,user_id,session_id,timestamp,step,action_type,reference,platform,city,device,current_filters,impressions,prices
278,0L2TX0JNYVQ6,06e7c29170946,1541041830,1,search for poi,Seoul Station,HK,"Seoul, South Korea",desktop,,,
281,0L2TX0JNYVQ6,06e7c29170946,1541044143,4,search for poi,Myeongdong,HK,"Seoul, South Korea",desktop,,,
283,0L2TX0JNYVQ6,06e7c29170946,1541044255,6,search for poi,Myeongdong,HK,"Seoul, South Korea",desktop,,,
284,0L2TX0JNYVQ6,06e7c29170946,1541044256,7,search for poi,Dongdaemun Market,HK,"Seoul, South Korea",desktop,,,
77690,JVHZ924NJV35,d539f9b22ee1d,1541500074,1,search for poi,Hongdae,KR,"Seoul, South Korea",mobile,,,
77696,JVHZ924NJV35,d539f9b22ee1d,1541501125,7,change of sort order,interaction sort button,KR,"Seoul, South Korea",mobile,,,
77697,JVHZ924NJV35,d539f9b22ee1d,1541501129,8,change of sort order,rating and recommended,KR,"Seoul, South Korea",mobile,,,
77698,JVHZ924NJV35,d539f9b22ee1d,1541501129,9,filter selection,Focus on Rating,KR,"Seoul, South Korea",mobile,Focus on Rating,,
77701,JVHZ924NJV35,d539f9b22ee1d,1541501241,12,filter selection,Motel,KR,"Seoul, South Korea",mobile,Motel,,
77702,JVHZ924NJV35,d539f9b22ee1d,1541501241,13,search for poi,Hongdae,KR,"Seoul, South Korea",mobile,Motel,,
77704,JVHZ924NJV35,d539f9b22ee1d,1541501284,15,filter selection,Motel,KR,"Seoul, South Korea",mobile,Motel,,
77705,JVHZ924NJV35,d539f9b22ee1d,1541501284,16,search for poi,Hongdae,KR,"Seoul, South Korea",mobile,Motel,,
77707,JVHZ924NJV35,d539f9b22ee1d,1541501414,18,search for poi,Hongdae,KR,"Seoul, South Korea",mobile,Motel,,
79909,QQ8XZ76LYESL,dca58735471b0,1541502016,1,search for poi,Myeongdong,ID,"Seoul, South Korea",desktop,,,
82160,UMM71FCR6LL1,5c5d7a86ce671,1541522395,1,search for poi,Myeongdong,TW,"Seoul, South Korea",desktop,,,
97655,XKL45I5PMZDM,ebaca0ab8da60,1541078504,10,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
97656,XKL45I5PMZDM,ebaca0ab8da60,1541078513,11,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
97657,XKL45I5PMZDM,ebaca0ab8da60,1541078513,12,change of sort order,rating and recommended,JP,"Seoul, South Korea",mobile,,,
97658,XKL45I5PMZDM,ebaca0ab8da60,1541078513,13,filter selection,Focus on Rating,JP,"Seoul, South Korea",mobile,Focus on Rating,,
97659,XKL45I5PMZDM,ebaca0ab8da60,1541078519,14,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
97660,XKL45I5PMZDM,ebaca0ab8da60,1541078523,15,change of sort order,price only,JP,"Seoul, South Korea",mobile,,,
97661,XKL45I5PMZDM,ebaca0ab8da60,1541078523,16,filter selection,Sort by Price,JP,"Seoul, South Korea",mobile,Sort by Price,,
110404,1OF0E76668HU,7c6665855dd1e,1541227160,1,search for destination,"Seoul, South Korea",PH,"Seoul, South Korea",mobile,,,
110409,1OF0E76668HU,7c6665855dd1e,1541227289,6,filter selection,Bed & Breakfast,PH,"Seoul, South Korea",mobile,Bed & Breakfast,,
123608,391VE4OHMNO7,7264c31a4f4d2,1541331173,3,filter selection,Hostal (ES),JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
123609,391VE4OHMNO7,7264c31a4f4d2,1541331173,4,filter selection,Hotel,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
123610,391VE4OHMNO7,7264c31a4f4d2,1541331173,5,filter selection,Motel,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
123611,391VE4OHMNO7,7264c31a4f4d2,1541331173,6,filter selection,Resort,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
123612,391VE4OHMNO7,7264c31a4f4d2,1541331173,7,filter selection,4 Star,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
123613,391VE4OHMNO7,7264c31a4f4d2,1541331173,8,filter selection,5 Star,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
123614,391VE4OHMNO7,7264c31a4f4d2,1541331244,9,filter selection,Focus on Distance,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES)|Focus on Distance,,
123615,391VE4OHMNO7,7264c31a4f4d2,1541331244,10,search for poi,Seoul Station,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES)|Focus on Distance,,
153632,757MZKN43EMA,436cd86cc1ebd,1541503206,31,change of sort order,interaction sort button,KR,"Seoul, South Korea",mobile,,,
153633,757MZKN43EMA,436cd86cc1ebd,1541503216,32,change of sort order,distance and recommended,KR,"Seoul, South Korea",mobile,,,
153634,757MZKN43EMA,436cd86cc1ebd,1541503216,33,filter selection,Focus on Distance,KR,"Seoul, South Korea",mobile,Focus on Distance,,
154008,85B0CKUYLRZ5,a3c8520350d02,1541497131,7,filter selection,Hotel,HK,"Seoul, South Korea",tablet,Hotel,,
154009,85B0CKUYLRZ5,a3c8520350d02,1541497131,8,search for destination,"Seoul, South Korea",HK,"Seoul, South Korea",tablet,Hotel,,
154011,85B0CKUYLRZ5,a3c8520350d02,1541497239,10,search for poi,Dongdaemun Market,HK,"Seoul, South Korea",tablet,,,
154012,85B0CKUYLRZ5,a3c8520350d02,1541497261,11,search for poi,Dongdaemun Market,HK,"Seoul, South Korea",tablet,,,
154018,85B0CKUYLRZ5,a3c8520350d02,1541497388,17,search for poi,Hongik University,HK,"Seoul, South Korea",tablet,,,
154019,85B0CKUYLRZ5,a3c8520350d02,1541497414,18,search for poi,Hongik University,HK,"Seoul, South Korea",tablet,,,
154020,85B0CKUYLRZ5,a3c8520350d02,1541497449,19,filter selection,Hotel,HK,"Seoul, South Korea",tablet,Hotel,,
154021,85B0CKUYLRZ5,a3c8520350d02,1541497459,20,filter selection,Good Rating,HK,"Seoul, South Korea",tablet,Hotel|Good Rating,,
165389,4XM21VJ0FRJB,4aaac6cf2552d,1541035947,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
165390,4XM21VJ0FRJB,4aaac6cf2552d,1541035978,2,filter selection,unknown,JP,"Seoul, South Korea",desktop,Hotel Chain,,
165393,4XM21VJ0FRJB,4aaac6cf2552d,1541036556,5,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
165394,4XM21VJ0FRJB,4aaac6cf2552d,1541036556,6,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
165396,4XM21VJ0FRJB,4aaac6cf2552d,1541036606,8,filter selection,unknown,JP,"Seoul, South Korea",desktop,Hotel Chain|Focus on Distance,,
165397,4XM21VJ0FRJB,4aaac6cf2552d,1541036616,9,filter selection,unknown,JP,"Seoul, South Korea",desktop,Hotel Chain|Focus on Distance,,
165398,4XM21VJ0FRJB,4aaac6cf2552d,1541036818,10,filter selection,unknown,JP,"Seoul, South Korea",desktop,Focus on Distance,,
167988,7U277BCP6FGL,9952be944da46,1541066508,2,search for poi,Lotte - Main,SG,"Seoul, South Korea",desktop,,,
174811,SLOLNLMFHCI0,5f728104cdf76,1541078241,1,search for poi,Myeongdong,MY,"Seoul, South Korea",mobile,,,
174838,SLOLNLMFHCI0,5f728104cdf76,1541078378,28,change of sort order,interaction sort button,MY,"Seoul, South Korea",mobile,,,
174839,SLOLNLMFHCI0,5f728104cdf76,1541078393,29,filter selection,Satisfactory Rating,MY,"Seoul, South Korea",mobile,Satisfactory Rating,,
174841,SLOLNLMFHCI0,5f728104cdf76,1541078413,31,filter selection,Satisfactory Rating,MY,"Seoul, South Korea",mobile,,,
174846,SLOLNLMFHCI0,5f728104cdf76,1541078504,36,filter selection,Guest House,MY,"Seoul, South Korea",mobile,Guest House,,
