,0
0,Seoul Station
1,Myeongdong
2,Dongdaemun Market
3,Hongdae
4,interaction sort button
5,rating and recommended
6,Focus on Rating
7,Motel
8,"Seoul, South Korea"
9,price only
10,Sort by Price
11,Bed & Breakfast
12,Hostal (ES)
13,Hotel
14,Resort
15,4 Star
16,5 Star
17,Focus on Distance
18,distance and recommended
19,Hongik University
20,Good Rating
21,unknown
22,Lotte - Main
23,Satisfactory Rating
24,Guest House
25,House / Apartment
26,Serviced Apartment
27,1 Star
28,2 Star
29,Hostel
30,Myeong-dong
31,price and recommended
32,Best Value
33,Free WiFi (Combined)
34,Breakfast Included
35,Very Good Rating
36,Swimming Pool (Combined Filter)
37,Excellent Rating
38,Changdeokgung
39,Gyeongbok Palace Station Metro Gallery
40,Sindorim
41,Insadong
42,COEX
43,Gangnam-gu
44,Seoul Arts Center
45,Air Conditioning
46,Restaurant
47,3 Star
48,COEX Aquarium
49,Spa (Wellness Facility)
50,Jamsil Sports Complex
51,Sejong Center
52,Gimpo International Airport
53,Seoul World Cup Stadium
54,rating only
55,Sort By Rating
56,Seochogu
57,our recommendations
58,Sort By Popularity
59,Jongno
60,distance only
61,Sort By Distance
62,Jamsil Baseball Stadium
63,Mokdong Stadium
64,Itaewon
65,Jacuzzi (Hotel)
66,Terrace (Hotel)
67,Airport Shuttle
68,Reception (24/7)
69,Mapogu
70,Pet Friendly
71,Kitchen
72,Shower
73,Jung Gu
74,Gyeongbokgung
75,Car Park
76,Gym
77,Yongsan station
78,Bathtub
79,Konkuk University
80,Gay-friendly
81,Health Retreat
82,Free WiFi (Rooms)
83,Fitness
84,National Theater of Korea
85,Electric Kettle
86,Dongdaemun Sijang
87,Gwanghwamun
88,Luxury Hotel
89,Non-Smoking Rooms
