,ref
0,"Yeosu, South Korea"
1,"Hongcheon, South Korea"
2,Hongdae
3,interaction sort button
4,rating and recommended
5,Focus on Rating
6,Motel
7,Manila Bay
8,"Gyeongju, South Korea"
9,"Gwangju, South Korea"
10,"Incheon, South Korea"
11,"Busan, South Korea"
12,distance and recommended
13,Focus on Distance
14,Free WiFi (Combined)
15,Breakfast Included
16,Seoul Station
17,"Gunsan, South Korea"
18,"Daegu, South Korea"
19,"Changwon, South Korea"
20,"Sokcho, South Korea"
21,price and recommended
22,Best Value
23,our recommendations
24,Sort By Popularity
25,Excellent Rating
26,Sokcho Beach
27,"Gangneung, South Korea"
28,Gwangalli Beach
29,Hwaseong Fortress
30,"Ganghwado, South Korea"
31,"Skyros - Chora, Greece"
32,"Anyang, South Korea"
33,"Gunpo, South Korea"
34,Hotel
35,"Chuncheon, South Korea"
36,BEXCO
37,"Suwon, South Korea"
38,5 Star
39,"Gapyeong, South Korea"
40,Haeundae Beach
41,Sindorim
42,"Hong Kong, Hong Kong"
43,"Daejeon, South Korea"
44,"Tabernas, Spain"
45,price only
46,Sort by Price
47,"Fukuoka, Japan"
48,Namba
49,"Namhae, South Korea"
50,"Tongyeong, South Korea"
51,"Jeonju, South Korea"
52,"Jeongseon, South Korea"
53,Everland
54,Sajik Baseball Stadium
55,Swimming Pool (Indoor)
56,Songjeong Beach
57,Gwanganli Busan
58,"Seogwipo, South Korea"
59,"Namwon, South Korea"
60,"Mombasa, Kenya"
61,Serviced Apartment
62,House / Apartment
63,Guest House
64,Hostal (ES)
65,Resort
66,4 Star
67,Balcony
68,"Ulsan, South Korea"
69,"Goseong, South Korea"
70,"Bangkok, Thailand"
71,Jeonju Hanok Village
72,"Uijeongbu, South Korea"
73,Very Good Rating
74,"Yeongju, South Korea"
75,"Pyeongchang, South Korea"
76,Incheon Airport
77,"Taean, South Korea"
78,"Wonju, South Korea"
79,"Cheongpyeong, South Korea"
80,"Yong-In, South Korea"
81,"Yangpyeong, South Korea"
82,"Yangyang, South Korea"
83,"Osaka, Japan"
84,Good Rating
85,rating only
86,Sort By Rating
87,"Pohang, South Korea"
88,Venezia Santa Lucia Grandi Stazioni
89,"Otaru, Japan"
90,"Bristol, United Kingdom"
91,Dongdaemun Market
92,Seongsan Ilchulbong
93,"Karlstad, Sweden"
94,"Philadelphia, USA"
95,"Jeongeup, South Korea"
96,"Geoje, South Korea"
97,Ben Thanh Market
98,Bui Vien Street
99,Spa (Wellness Facility)
100,Hong Kong Disneyland
101,Kitchen
102,distance only
103,Sort By Distance
104,3 Star
105,"Torchiara, Italy"
106,Busan Station
107,"Jinju, South Korea"
108,Car Park
109,"Damyang, South Korea"
110,"Gurye, South Korea"
111,"Uljin, South Korea"
112,"Hwacheon, South Korea"
113,"Geochang, South Korea"
114,Seoraksan National Park
115,Jamsil Baseball Stadium
116,Phuket International Airport
117,Swimming Pool (Combined Filter)
118,Bike Rental
119,unknown
120,Mokdong Stadium
121,"Split, Croatia"
122,"Da Nang, Vietnam"
123,"Jumunjin, South Korea"
124,"Wando, South Korea"
125,Seomyeon
126,"Danyang, South Korea"
127,Satisfactory Rating
128,Air Conditioning
129,Family Friendly
130,"Seosan, South Korea"
