user_id,session_id,timestamp,step,action_type,reference,platform,city,device,current_filters,impressions,prices
00RL8Z82B2Z1,aff3928535f48,1541037460,1,search for poi,Newtown,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037522,2,interaction item image,666856,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037522,3,interaction item image,666856,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037532,4,interaction item image,666856,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037532,5,interaction item image,109038,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037532,6,interaction item image,666856,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037532,7,interaction item image,109038,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037532,8,interaction item image,666856,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037542,9,interaction item image,109038,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037542,10,interaction item image,109038,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037542,11,interaction item image,109038,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037542,12,interaction item image,109038,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037542,13,interaction item image,109038,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541037543,14,clickout item,109038,AU,"Sydney, Australia",mobile,,3400638|1253714|3367857|5100540|1088584|666916|54833|2922310|9711560|109038|666856|10077318|1431482|129343|6339822|6806806|1041528|109013|3909420|55088|3095758|109018|54885|1257342|2595006,95|66|501|112|95|100|101|72|82|56|56|143|70|25|71|162|73|143|188|118|77|131|143|49|165
00RL8Z82B2Z1,aff3928535f48,1541038469,15,search for poi,Surry Hills,AU,"Sydney, Australia",mobile,,,
00RL8Z82B2Z1,aff3928535f48,1541038485,16,clickout item,1257342,AU,"Sydney, Australia",mobile,,55109|129343|54824|2297972|109014|1257342|1031578|109018|1332971|666916|54833|54885|2237222|10077318|1166793|9132132|1474297|3909420|6622154|55091|8444418|54804|2050977|666936|55088,162|25|150|143|101|49|118|131|18|100|101|143|51|143|123|36|66|188|124|138|94|137|180|112|118
02HGRBA06ODU,fa3a53156ae5c,1541030832,1,interaction item info,3377332,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030843,2,interaction item image,3377332,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030843,3,interaction item image,3377332,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030852,4,interaction item info,3377332,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030867,5,interaction item info,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030877,6,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030877,7,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030887,8,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030887,9,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030887,10,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030897,11,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030897,12,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030897,13,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030897,14,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030897,15,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030908,16,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030908,17,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030908,18,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030908,19,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030918,20,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030918,21,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030918,22,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030918,23,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030918,24,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030918,25,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030918,26,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030928,27,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541030978,28,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541031009,29,interaction item info,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541031024,30,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
02HGRBA06ODU,fa3a53156ae5c,1541031024,31,interaction item image,3066244,BR,"Ubatuba, Brazil",mobile,,,
